#prep_s:s
#priloha:pizzoccheri
#priloha:rigatoni
#priloha:lasagne
#priloha:farfalle
#priloha:fusilli
#priloha:gnocchi
#priloha:radiatori
#priloha:cannelloni
#priloha:orecchiette
#priloha:cavatelli
#priloha:casarecce
#priloha:rotelle
#priloha:spätzle
#priloha:stelline
#priloha:peperini
#priloha:alfabetti
#priloha:anellini
#priloha:capellini
#priloha:conchigliette
#priloha:farfalline
#priloha:tertellini
#priloha:ravioli
#priloha:cappelleti
#priloha:canelloni
#priloha:kolínka
#priloha:nudle
#spec:bramborový
#spec:americký
